Major,Minor
ANIMATED FEATURE FILM,ACTOR
ASSISTANT DIRECTOR,ACTOR IN A LEADING ROLE
AWARD OF COMMENDATION,ACTOR IN A SUPPORTING ROLE
BEST MOTION PICTURE,ACTRESS
BEST PICTURE,ACTRESS IN A LEADING ROLE
DIRECTING,ACTRESS IN A SUPPORTING ROLE
DIRECTING (Comedy Picture),ART DIRECTION
DIRECTING (Dramatic Picture),ART DIRECTION (Black-and-White)
DOCUMENTARY,ART DIRECTION (Color)
DOCUMENTARY (Feature),CINEMATOGRAPHY
DOCUMENTARY (Short Subject),CINEMATOGRAPHY (Black-and-White)
DOCUMENTARY FEATURE FILM,CINEMATOGRAPHY (Color)
DOCUMENTARY SHORT FILM,COSTUME DESIGN
FOREIGN LANGUAGE FILM,COSTUME DESIGN (Black-and-White)
GORDON E. SAWYER AWARD,COSTUME DESIGN (Color)
HONORARY FOREIGN LANGUAGE FILM AWARD,DANCE DIRECTION
INTERNATIONAL FEATURE FILM,ENGINEERING EFFECTS
OUTSTANDING MOTION PICTURE,FILM EDITING
OUTSTANDING PICTURE,HONORARY AWARD
SHORT FILM (Animated),IRVING G. THALBERG MEMORIAL AWARD
SHORT FILM (Dramatic Live Action),JEAN HERSHOLT HUMANITARIAN AWARD
SHORT FILM (Live Action),MAKEUP
SHORT SUBJECT (Animated),MAKEUP AND HAIRSTYLING
SHORT SUBJECT (Cartoon),MUSIC (Adaptation Score)
SHORT SUBJECT (Color),MUSIC (Music Score of a Dramatic or Comedy Picture)
SHORT SUBJECT (Comedy),MUSIC (Music Score of a Dramatic Picture)
SHORT SUBJECT (Live Action),MUSIC (Music Score--substantially original)
SHORT SUBJECT (Novelty),MUSIC (Original Dramatic Score)
SHORT SUBJECT (One-reel),MUSIC (Original Music Score)
SHORT SUBJECT (Two-reel),MUSIC (Original Musical or Comedy Score)
SPECIAL ACHIEVEMENT AWARD,MUSIC (Original Score--for a motion picture [not a musical])
SPECIAL ACHIEVEMENT AWARD (Sound Editing),MUSIC (Original Score)
SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing),MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score)
SPECIAL ACHIEVEMENT AWARD (Sound Effects),MUSIC (Original Song Score and Its Adaptation or Adaptation Score)
SPECIAL ACHIEVEMENT AWARD (Visual Effects),MUSIC (Original Song Score or Adaptation Score)
SPECIAL AWARD,MUSIC (Original Song Score)
SPECIAL EFFECTS,MUSIC (Original Song)
SPECIAL FOREIGN LANGUAGE FILM AWARD,MUSIC (Score of a Musical Picture--original or adaptation)
SPECIAL VISUAL EFFECTS,MUSIC (Scoring of a Musical Picture)
UNIQUE AND ARTISTIC PICTURE,MUSIC (Scoring of Music--adaptation or treatment)
WRITING,MUSIC (Scoring: Adaptation and Original Song Score)
WRITING (Adaptation),MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)
WRITING (Adapted Screenplay),MUSIC (Scoring)
WRITING (Motion Picture Story),MUSIC (Song--Original for the Picture)
WRITING (Original Motion Picture Story),MUSIC (Song)
WRITING (Original Screenplay),OUTSTANDING PRODUCTION
WRITING (Original Story),PRODUCTION DESIGN
WRITING (Screenplay Adapted from Other Material),SOUND
WRITING (Screenplay Based on Material from Another Medium),SOUND EDITING
WRITING (Screenplay Based on Material Previously Produced or Published),SOUND EFFECTS
WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),SOUND EFFECTS EDITING
WRITING (Screenplay Written Directly for the Screen),SOUND MIXING
WRITING (Screenplay--Adapted),SOUND RECORDING
WRITING (Screenplay--based on material from another medium),VISUAL EFFECTS
WRITING (Screenplay--Original),
WRITING (Screenplay),
WRITING (Story and Screenplay--based on factual material or material not previously published or produced),
WRITING (Story and Screenplay--based on material not previously published or produced),
WRITING (Story and Screenplay--written directly for the screen),
WRITING (Story and Screenplay),
WRITING (Title Writing),
